distance_marker_drone,marker_diff_x,marker_diff_y,marker_diff_z,marker_discance_diff
1668.1487925220854,-6.15317729690139,31.365643280142876,-17.048719526360856,36.22601284592044
1682.1227574896286,1.4432942947792071,21.02863540856106,-24.725657278955964,32.49068687245497
1829.872443917611,-24.926415259636997,39.137568935722584,-7.803682827173816,47.05287393519581
1553.3574123802096,-40.8003268647401,16.84450714305717,-91.73263052236052,101.80019447778106
2181.789540481492,9.913517439904012,-2.713662127759335,-25.61444272420613,27.599664241554688
2481.7011644454346,17.760389197648237,-4.732698617050119,-20.5446635922861,27.56652068673111
2696.1843379325956,49.02591798643948,-53.611169624819695,40.9020438461672,83.3707102869351
1633.027837347475,-8.96741997346885,21.78116767587676,-43.859210309797845,49.784176354583835
1997.4196284911811,0.19873366056037867,11.091602856307645,-31.336537186268856,33.24216767625575
1667.41074797744,-39.63411308912055,32.16978315344045,-24.099958716747096,56.449675629267276
